"Date";"Solde au 12/10/12";"Débit Euros";"Crédit Euros";"Solde";"Categorie"
"12-Sep";"** Frais Atd                       
.                                  ";"6,44";;"-608,63";"frais bancaires"
"12-Sep";"Tva /frais                         
.                                  ";"1,26";;"-609,89";"frais bancaires"
"11-Sep";"Atd N 71775                        
.                                  ";"77,00";;"-686,89";"taxes"
"11-Sep";"Vir    C.P.A.M. Finistere          
122510004163                       ";;"20,10";"-666,79";"frais bancaires"
"10-Sep";"Carte Centre Leclerc   08/09/12    
.                                  ";"121,13";;"-787,92";"food"
"10-Sep";"Carte Superette Recouv 07/09/12    
.                                  ";"11,10";;"-799,02";"frais bancaires"
"10-Sep";"Carte Superette Recouv 07/09/12    
.                                  ";"9,10";;"-808,12";"frais bancaires"
"10-Sep";"Prlv Ech Pret A Consommer          
243002220273023644389         S    ";"383,59";;"-1191,71";"frais bancaires"
"10-Sep";"Prlv Ech Pret A Consommer          
243018600873056379735         S    ";"146,90";;"-1338,61";"frais bancaires"
"10-Sep";"001007 Electricite De France       
*111540180216 14616 7   Edf Pr9    ";"65,00";;"-1403,61";"electricite"
"10-Sep";"**cotisation Cs Option 2           
.                                  ";"6,00";;"-1409,61";"frais bancaires"
"07-Sep";"Prlv   Predica Garantie Deces      
*82900255460787*001tema3           ";"4,87";;"-1414,48";"frais bancaires"
"04-Sep";"** Cotis.Service Gael              
.                                  ";"1,13";;"-1415,61";"frais bancaires"
"03-Sep";"Ret Dab 06309 Brest St 01 09 12    
.                                  ";"60,00";;"-1475,61";"frais bancaires"
"03-Sep";"Carte Sm Les Jacobins  01/09/12    
.                                  ";"39,98";;"-1515,59";"frais bancaires"
"03-Sep";"Carte Superette Recouv 31/08/12    
.                                  ";"12,80";;"-1528,39";"frais bancaires"
"01-Sep";"Vir.Monfort Nicole                 
.                                  ";"486,00";;"-2014,39";"frais bancaires"
"30-Aoû";"Carte Superette Recouv 29/08/12    
.                                  ";"11,00";;"-2025,39";"frais bancaires"
"30-Aoû";"Vir    Capgemini Technology Ser    
Virement Salaire      S0000        ";;"2 302,35";"276,96";"frais bancaires"
"29-Aoû";"Carte Snc  La Presqu'  28/08/12    
.                                  ";"62,00";;"214,96";"frais bancaires"
"29-Aoû";"Carte Superette Recouv 28/08/12    
.                                  ";"11,90";;"203,06";"frais bancaires"
"28-Aoû";"Carte Rel.Total 59934  27/08/12    
.                                  ";"84,79";;"118,27";"frais bancaires"
"28-Aoû";"Ret Dab Brest          25 08 12    
.                                  ";"60,00";;"58,27";"frais bancaires"
"28-Aoû";"Carte Superette Recouv 27/08/12    
.                                  ";"14,60";;"43,67";"frais bancaires"
"28-Aoû";"Prlv   Ass Pacifica  05973356907   
3316184929766907021ass Pacifica    ";"12,37";;"31,3";"frais bancaires"
"28-Aoû";"**cotis Carte Double Actio         
.                                  ";"77,65";;"-46,35";"frais bancaires"
"27-Aoû";"Ret Dab Brest La Frega 24 08 12    
.                                  ";"60,00";;"-106,35";"frais bancaires"
"27-Aoû";"Carte L Amiral Ne      25/08/12    
.                                  ";"36,00";;"-142,35";"frais bancaires"
"24-Aoû";"332801 Sfr Mobile                  
8544463875epre120812an             ";"55,20";;"-197,55";"telephone"
"23-Aoû";"Carte Lavage Auto      22/08/12    
.                                  ";"10,00";;"-207,55";"frais bancaires"
"23-Aoû";"Carte Superette Recouv 22/08/12    
.                                  ";"13,10";;"-220,65";"frais bancaires"
"21-Aoû";"Carte Superette Recouv 20/08/12    
.                                  ";"42,50";;"-263,15";"frais bancaires"
"20-Aoû";"Carte Fender Tex Mex   19/08/12    
.                                  ";"28,15";;"-291,3";"food"
"17-Aoû";"Carte Carrefour Brest  16/08/12    
.                                  ";"107,30";;"-398,6";"food"
"16-Aoû";"Carte Cupid.Com 448005 14/08/12    
.                                  ";"45,99";;"-444,59";"porno"
"16-Aoû";"Ret Dab Brest La Frega 15 08 12    
.                                  ";"40,00";;"-484,59";"frais bancaires"
"16-Aoû";"Carte Ikea             15/08/12    
.                                  ";"70,00";;"-554,59";"furnitures"
"16-Aoû";"Carte Le Penalty       14/08/12    
.                                  ";"62,00";;"-616,59";"frais bancaires"
"16-Aoû";"Carte L'arena          14/08/12    
.                                  ";"4,60";;"-621,19";"frais bancaires"
"16-Aoû";"Prlv   Ass Pacifica  06019130907   
0753184258269907021ass Pacifica    ";"68,68";;"-689,87";"frais bancaires"
"14-Aoû";"Ret Dab Spar Ouessant  12 08 12    
.                                  ";"50,00";;"-739,87";"frais bancaires"
"14-Aoû";"Carte L'arena          13/08/12    
.                                  ";"10,60";;"-750,47";"frais bancaires"
"13-Aoû";"Ret Dab Brest          10 08 12    
.                                  ";"50,00";;"-800,47";"frais bancaires"
"13-Aoû";"Carte La Poste 290190  10/08/12    
.                                  ";"23,00";;"-823,47";"frais bancaires"
"13-Aoû";"Carte Decathlon 0032   10/08/12    
.                                  ";"117,90";;"-941,37";"sport"
"13-Aoû";"Ret Dab Brest          10 08 12    
.                                  ";"40,00";;"-981,37";"frais bancaires"
"13-Aoû";"Carte Superette Recouv 10/08/12    
.                                  ";"7,20";;"-988,57";"frais bancaires"
"10-Aoû";"Prlv Ech Pret A Consommer          
214002338773023644389         S    ";"383,59";;"-1372,16";"frais bancaires"
"10-Aoû";"Prlv Ech Pret A Consommer          
214019255473056379735         S    ";"146,90";;"-1519,06";"frais bancaires"
