MyDate	GroupLib	Libelle	Debit	Credit	Category	Weekly	Monthly	Yearly
2017-03-31 00:00:00	PAIEMENTPARCARTE	MOKODINAN30/03	18	0	NULL	NULL	NULL	NULL
2017-03-31 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN30/03	9	0	NULL	NULL	NULL	NULL
2017-03-30 00:00:00	PAIEMENTPARCARTE	DECATHLON0720TADEN29/03	49	0	NULL	NULL	NULL	NULL
2017-03-29 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN28/03	11	0	NULL	NULL	NULL	NULL
2017-03-29 00:00:00	RETRAITAUDISTRIBUTEUR	DINANINTERMARCH28/0318H09	60	0	NULL	NULL	NULL	NULL
2017-03-29 00:00:00	RETRAITAUDISTRIBUTEUR	DINANCENTRE128/0308H16	60	0	NULL	NULL	NULL	NULL
2017-03-28 00:00:00	VIREMENTENVOTREFAVEUR	APOLOGICAPOLOGIC70831105480001	0	2000	NULL	NULL	NULL	NULL
2017-03-28 00:00:00	PAIEMENTPARCARTE	LESTERRASSESDINAN27/03	8	0	NULL	NULL	NULL	NULL
2017-03-28 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN27/03	4	0	NULL	NULL	NULL	NULL
2017-03-28 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN27/03	14	0	NULL	NULL	NULL	NULL
2017-03-28 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN27/03	7	0	NULL	NULL	NULL	NULL
2017-03-28 00:00:00	PAIEMENTPARCARTE	SARLJMVIPINAULTTADEN27/03	2	0	NULL	NULL	NULL	NULL
2017-03-27 00:00:00	PAIEMENTPARCARTE	RELAISDUCOLOMBIERLANVAL25/03	14	0	NULL	NULL	NULL	NULL
2017-03-27 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVALL25/03	15	0	NULL	NULL	NULL	NULL
2017-03-27 00:00:00	PAIEMENTPARCARTE	VIVECODINAN26/03	6	0	NULL	NULL	NULL	NULL
2017-03-27 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN24/03	10	0	NULL	NULL	NULL	NULL
2017-03-24 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN23/03	5	0	NULL	NULL	NULL	NULL
2017-03-24 00:00:00	RETRAITAUDISTRIBUTEUR	DINAN23/0308H01	60	0	NULL	NULL	NULL	NULL
2017-03-23 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN22/03	9	0	NULL	NULL	NULL	NULL
2017-03-22 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN21/03	9	0	NULL	NULL	NULL	NULL
2017-03-21 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN20/03	7	0	NULL	NULL	NULL	NULL
2017-03-20 00:00:00	PAIEMENTPARCARTE	SOMOBADACTADEN19/03	73	0	NULL	NULL	NULL	NULL
2017-03-20 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN19/03	20	0	NULL	NULL	NULL	NULL
2017-03-20 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN18/03	53	0	NULL	NULL	NULL	NULL
2017-03-20 00:00:00	PAIEMENTPARCARTE	VIVECODINAN19/03	11	0	NULL	NULL	NULL	NULL
2017-03-20 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN17/03	10	0	NULL	NULL	NULL	NULL
2017-03-20 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN18/03	18	0	NULL	NULL	NULL	NULL
2017-03-20 00:00:00	RETRAITAUDISTRIBUTEUR	DINANCENTRE117/0308H03	60	0	NULL	NULL	NULL	NULL
