YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1923    1.1    4.1    6.3    9.4   13.5   14.6   21.8   20.1   14.9   11.9    4.7    2.4     2.3     9.7    18.8    10.5   10.34
1924    0.6   -0.2    5.5    9.9   15.2   17.4   19.2   15.9   15.0   10.0    5.8    1.6     0.9    10.2    17.5    10.3    9.72
1925    2.5    4.3    3.9    9.4   13.7   18.3   18.7   18.1   13.4   10.8    4.0    2.4     2.8     9.0    18.4     9.4    9.89
1926    1.2    5.8    6.1   10.4   12.0   15.0   18.7   18.8   17.3   11.2    7.3    0.3     3.1     9.5    17.5    11.9   10.52
1927    1.9    1.9    6.5   10.4   15.1   17.4   19.2   17.6   14.9    9.5    5.4    2.0     1.4    10.7    18.1     9.9   10.01
1928    2.7    3.7    6.8    9.1   12.0   17.9   23.2   21.1   15.4    9.7    6.8    1.8     2.8     9.3    20.7    10.6   10.87
1929   -2.6   -3.6    5.0    7.9   14.3   18.5   20.4   18.7   17.7   10.9    5.4    4.9    -1.5     9.1    19.2    11.3    9.53
1930    2.9    2.3    6.7   10.1   12.5   19.8   18.4   18.8   16.3   10.1    7.8    3.0     3.4     9.8    19.0    11.4   10.88
1931    2.3    1.3    4.1    8.9   15.7   20.0   18.6   16.9   11.5    9.1    6.9    0.9     2.2     9.6    18.5     9.2    9.86
1932    1.5   -1.1    4.2    8.0   12.5   16.8   18.2   21.0   18.2   10.8    6.0    2.0     0.4     8.2    18.7    11.7    9.75
1933   -1.3    2.5    6.0   10.7   13.0   15.2   20.6   20.4   16.1   10.6    4.4   -1.9     1.1     9.9    18.7    10.4   10.02
1934    1.1    1.2    5.6   11.2   15.8   18.3   20.9   17.8   16.6   10.2    4.1    5.3     0.1    10.9    19.0    10.3   10.07
1935   -0.3    3.9    5.0    9.1   12.6   19.3   21.1   18.2   16.2   10.4    6.4    1.5     3.0     8.9    19.5    11.0   10.60
1936    5.3    2.8    7.0    8.7   14.6   17.2   18.1   18.4   15.6    7.3    5.9    2.6     3.2    10.1    17.9     9.6   10.20
1937    2.9    5.5    4.4    9.7   15.3   18.5   20.6   19.5   14.9   10.4    5.1    1.2     3.7     9.8    19.5    10.1   10.78
1938    2.6    1.4    7.8    7.7   12.5   18.5   18.7   18.5   15.7   10.6    7.2    0.2     1.7     9.3    18.6    11.2   10.20
1939    3.4    2.5    3.3   10.5   10.9   17.3   18.4   18.5   14.7    9.7    7.4    1.2     2.0     8.2    18.1    10.6    9.73
1940   -2.8    2.3    6.0    9.6   13.8   16.8   18.2   17.9   15.7   10.0    6.5   -1.9     0.2     9.8    17.6    10.7    9.60
1941   -0.1    2.6    6.2    8.4   10.5   17.6   20.7   17.6   14.5    9.2    4.9    1.1     0.2     8.4    18.6     9.5    9.18
1942   -2.2   -1.8    6.5   10.1   14.4   18.0   20.1   19.8   17.5   12.0    4.4    1.3    -1.0    10.3    19.3    11.3    9.99
1943    1.8    3.5    7.1   11.0   15.1   17.1   20.0   20.7   16.3   12.4    4.8    2.5     2.2    11.1    19.3    11.2   10.92
1944    1.8   -0.2    4.0   11.6   14.7   17.4   19.7   22.8   15.1    9.1    5.7    1.4     1.4    10.1    20.0    10.0   10.35
1945   -2.9    4.5    7.2   12.2   15.9   20.5   21.8   18.7   16.8   10.7    4.4    2.4     1.0    11.8    20.3    10.6   10.93
1946   -0.2    5.4    7.0   12.3   14.8   17.2   20.9   19.0   15.8    9.7    5.2    0.8     2.5    11.4    19.0    10.2   10.79
1947   -1.1    0.7    6.7   12.7   16.1   19.5   21.5   21.7   17.9   11.0    7.5    2.6     0.1    11.8    20.9    12.1   11.25
