"ID"	"Task"	"Weight"	"Complexity"	"Duration"	"Status"	"Cashhkject"	"Start"	"End"	"Theo Start"	"Theo End"	"Deliverable"	"Depends on"	"Ressource"
105	"Faire reparer la clim de l'alfa"				"Pending"	"Alfa"	"2014-02-09"	"2014-02-10"	"2014-02-11"	"2014-02-12"			
106	"Cirer le plancher"				"Pending"	"Day to day"	"2014-02-09"	"2014-02-10"	"2014-02-11"	"2014-02-12"			
107	"Faire reparer le genois"				"Pending"	"Boat"	"2014-02-10"	"2014-02-11"	"2014-02-12"	"2014-02-13"			
108	"Adherer a la secu"	10000			"Pending"	"Cashhk"	"2014-02-10"	"2014-02-11"	"2014-02-12"	"2014-02-13"			
109	"Amener les costumes au pressing"				"Pending"	"Cashhk"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
110	"Arreter de fumer"	78120	1		"Pending"	"Health"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
111	"Arreter de boire"	156240	1		"Pending"	"Health"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
112	"Offrir cadeau Etienne"	4000	10		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
112	"Offrir cadeau Zaz"	3800	10		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
113	"Offrir cadeau Mum"	3600	5		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
114	"Offrir cadeau Armelle"	3200	5		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
115	"Offrir cadeau Flozio"	2800	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
116	"Offrir cadeau Fanch"	2400	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Jessica"	2000	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Jessie"	1600	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Christophe"	1200	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Appeler FredP"	324000	1		"Pending"	"Talent"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Offrir cadeau Jab"	400	2		"Pending"	"Friends"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
117	"Appeler London"	324000	1		"Pending"	"Talent"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
118	"Fermer ta gueule sur facebook"	100000	1		"Pending"	"Talent"	"2014-02-11"	"2014-02-12"	"2014-02-13"	"2014-02-14"			
	"scanner"												
	"réparer pc"												
	"planter les fraises"												
	"réparer armoire"												
	"refaire le plafond"												
	"refaire le mur"												
	"trouver suspensif pour les fraises"												
	"récupérer les plantes"												
	"nettoyer les carreaux"												
	"multiplex son"												
	"abajour"												
	"faire plastifier les cartes + encadrer jimi"												
	"videange alfa"												
	"essence alfa"												
	"guitare titi"												
	"créer son football club"												
	"trouver un spot pour le bad (Brest)"												
	"faire du cheval"												
	"Télécharger Ben"												
	"Gonfler matelas"												
	"Installer caméra SFR"												
	"révision moteur"												
	"génois - crowd funding?"												
	"tableau"												
	"gps"												
	"enrouleur"												
	"carénage"												
	"batterie"												
	"barre "												
	"payer le chantier naval"												
	"nettoyage intérieur"												
	"nettoyage coussins (housse?)"												
	"vente génois"												
	"testeur batterie"												
	"vérif assurance"												
	"vérif dispo/prix ponton roscoff"												
	"vérif dérive"												
	"location - Jab"												
	"VHF"												
	"cartes"												
	"scanner photos"												
	"ranger cartes de visites"												
	"checker windguru tous les matins"												
	"ajouter radio meuh sur website"												
	"refaire parquet"												
	"recup gamecube"												
	"chantier naval"												
	"monfort"												
	"contacter mazurier"												
	"contacter laurent le bras"												
	"contacter jean mich"												
	"voile plij lorient"												
	"femme de ménage"												
	"prof de guitare"												
	"backuper cvs"												
	"backuper research"												
	"faire un cv gestion de risques brest"												
	"finance"												
	"health"												
	"friends"												
	"day to day"												
	"investments (maison, boat, car)"												
	"work"												
	"recuperer costumes flo"			1,5	"finale"								
	"appeler laurent vidange"			2	"demi"								
	"regrouper les contacts par ville"			4	"quart"								
	"scanner photo petit plage"			8	"qualif"								
	"calculer projet australie"												
	"rapporter les dvds"												
	"impromer carte de visite"			"Finance"									
	"se raser sous les bras"			"day to day"									
	"remonter la barre de muscu"			"health"									
	"mettre les pendules à l'heure"			"friends"									
	"trouver coque N95"			"investments"									
	"rdv impots"			"work"									
	"aller au coiffeur "												
	"trouver une decapeuse"												
	"refire la peinture"												
	"recuperer affaire Jess"												
	"Aller à la pharmacie"												
	"dermato"												
	"Test MST"												
	"acheter masques"												
	"scanners les docs"												
	"retrouver les scans"												
	"photos matos"												
	"Nettoyer frigo"												
	"recuperer les lunettes"												
	"ajouter playlist guitare au docs perso"												
	"ajouter consommation a Tools"												
	"grouper par projet les taches"												
	"vendre guitare"												
	"recuperer guitare"												
	"recup outils zaz"												
	"créer liste bouquins "												
	"reconstituer journal"												
	"installer svn"												
	"reconstituer journal plijadur"												
	"retrouver equipiers plijadur"												
	"rdv dentiste"												
	"tatouage ben harper"												
	"contact Ekland"												
	"créer une équipe"												
	"nettoyer voiture"												
	"contacter francisco"												
	"conacter kerdoncuff"												
	"contacter thesar"												
	"rencontrer mecs tyfab"												
	"mettre à jour les contacts"												
	"créer liste muscu"												
	"projet pc"												
	"contacter cityfront"												
	"réparer acces disque dur"												
	"reparer armoire"												
	"refaire plafond"												
